Property locality,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bellawongarah,,,1300000.0,3250000.0,3037500.0,2491666.6666666665,3192500.0,,1810000.0,
Bellbird,,,226619.66666666666,289344.84210526315,309254.1666666667,385080.2380952381,655661.7289719626,427667.5128205128,463397.3125,
Bellbird Heights,,,,400550.0,490239.1304347826,572259.0909090909,577687.5,579375.0,579305.5555555555,
Bellbrook,,,61000.0,816454.5454545454,388000.0,350580.44444444444,257792.22222222222,380755.1818181818,777270.8,
Bellevue Hill,3247925.0,3500000.0,8344753.571428572,6407102.564102564,6994865.597938145,9299067.272727273,11712361.538461538,19708361.855670102,13534185.483870968,
Bellimbopinni,,,,822500.0,395000.0,609750.0,390268.0,,560000.0,
Bellingen,,18460.5,424898.125,614726.0273972603,696081.5052631579,915759.8865979381,981701.6129032258,897209.3333333334,920775.641025641,
Bellmount Forest,,,,1021125.0,340296.3333333333,735637.3333333334,1083333.3333333333,1085000.0,,
Belltrees,,,,2525000.0,2945056.25,2095998.4,6000000.0,,1000000.0,
Belmont,,694150.0,585500.0,801688.0733944954,788480.3,951076.7080291971,1139033.142857143,998173.8279569893,1122342.9901960783,980000.0
Belmont North,,,507590.9090909091,576940.0133333333,595936.3636363636,827551.1224489796,982082.2784810127,787740.243902439,944305.0495049505,
Belmont South,,,652666.6666666666,610823.5294117647,592200.0,696763.1578947369,829769.2307692308,722604.6666666666,962857.1428571428,
Belmore,,,1136181.8181818181,1017518.7323943662,1103015.98630137,1539638.0597014925,1580422.0555555555,1611660.616161616,1736190.7444444445,
Belmore River,,,,361250.0,489274.54545454547,990000.0,941666.6666666666,885555.5555555555,878000.0,
Beloka,,,,280000.0,,555000.0,,,,
Belowra,,,,,,300000.0,992500.0,,,
